City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Halifax,98,CA,1611523665,93,44.6453,-63.5724,26.6,8.05
Parrita,20,CR,1611523791,47,9.5201,-84.3225,82.4,16.11
Kaeo,16,NZ,1611523514,74,-35.1,173.7833,73.99,5.99
Leshukonskoye,100,RU,1611523542,98,64.8989,45.7622,27.45,7.72
Seoul,54,KR,1611523527,93,37.5683,126.9778,32.0,2.3
Moranbah,54,AU,1611523792,84,-22.0016,148.0466,71.28,10.89
Haapiti,20,PF,1611523792,62,-17.5667,-149.8667,87.8,18.41
Sos'va,100,RU,1611523792,90,59.1766,61.8558,-10.95,3.62
Gambēla,8,ET,1611523792,39,8.25,34.5833,80.71,3.62
Vila Franca do Campo,75,PT,1611523543,94,37.7167,-25.4333,64.0,13.8
Ancud,75,CL,1611523516,59,-41.8697,-73.8203,62.6,6.91
Tanout,0,NE,1611523793,20,14.9709,8.8879,64.27,13.4
Mango,90,US,1611523793,53,27.9797,-82.3065,78.8,1.41
Gilbués,59,BR,1611523793,57,-9.8317,-45.3439,80.37,2.68
Linden,20,GY,1611523793,74,6.0,-58.3,82.4,11.5
Camocim,98,BR,1611523793,76,-2.9022,-40.8411,80.92,12.77
Saint-Joseph,90,RE,1611523793,78,-21.3667,55.6167,78.8,6.91
Moree,0,AU,1611523793,68,-29.4667,149.85,73.4,16.11
Maniitsoq,91,GL,1611523494,76,65.4167,-52.9,16.36,4.43
Tuatapere,87,NZ,1611523794,85,-46.1333,167.6833,60.01,18.99
São Filipe,0,CV,1611523311,70,14.8961,-24.4956,72.05,5.1
Port-Cartier,92,CA,1611523794,64,50.0334,-66.8654,35.01,9.22
Manerbio,3,IT,1611523794,100,45.3558,10.1352,33.01,2.3
Mossamedes,100,AO,1611523295,76,-15.1961,12.1522,75.99,6.13
Siniscola,40,IT,1611523794,71,40.5719,9.6922,50.0,11.5
Marihatag,18,PH,1611523794,87,8.7936,126.2969,75.02,3.76
Daud Khel,0,PK,1611523795,41,32.875,71.5701,46.85,1.83
Gaspar,40,BR,1611523795,89,-26.9314,-48.9589,78.8,9.22
Gao,4,ML,1611523521,18,16.6362,1.637,68.7,12.75
Rancho Palos Verdes,40,US,1611523696,51,33.7445,-118.387,60.01,6.91
Khovd,100,MN,1611523795,66,48.0056,91.6419,3.67,9.37
La Providencia,0,MX,1611523795,66,28.7167,-111.5833,64.0,11.99
Raudeberg,0,NO,1611523515,65,61.9875,5.1352,37.4,9.22
Panguna,59,PG,1611523796,82,-6.3164,155.4848,71.33,0.45
Khandyga,98,RU,1611523796,75,62.6667,135.6,-53.32,1.05
Marzuq,20,YE,1611523796,35,14.4,46.4667,55.87,2.24
Zorritos,75,PE,1611523796,74,-3.6805,-80.6782,82.4,5.75
Saint Anthony,1,US,1611523550,58,45.0205,-93.218,26.6,4.61
Nicoya,0,CR,1611523542,40,10.1483,-85.452,91.4,18.41
Pontianak,75,ID,1611523797,100,-0.0333,109.3333,77.0,3.44
Laas,0,IT,1611523429,74,46.6166,10.7002,28.4,2.3
Faya,0,SA,1611523543,41,18.3851,42.4509,59.0,1.41
Ryōtsu-minato,32,JP,1611523797,68,38.0833,138.4333,41.56,6.29
Preeceville,7,CA,1611523797,87,51.95,-102.6677,-11.85,1.68
Havelock,1,US,1611523797,31,34.8791,-76.9013,48.2,3.44
Pandan,5,PH,1611523797,88,14.0453,124.1694,77.5,6.04
Sovetskiy,100,RU,1611523798,88,61.3614,63.5842,-17.32,6.42
Atbasar,100,KZ,1611523798,93,51.8,68.3333,1.54,11.1
Saurimo,97,AO,1611523798,96,-9.6608,20.3916,65.41,4.94
Fālākāta,3,IN,1611523793,67,26.5208,89.2055,60.17,4.25
Brownwood,90,US,1611523798,100,31.7093,-98.9912,62.6,12.66
Hutchinson,90,US,1611523642,75,38.0608,-97.9298,35.6,9.22
Thai Binh,90,VN,1611523798,88,20.45,106.3333,68.0,5.75
Porteirinha,66,BR,1611523799,76,-15.7433,-43.0283,74.57,7.83
Geraldton,50,AU,1611523324,65,-28.7667,114.6,69.82,11.36
Requena,0,ES,1611523799,55,39.4883,-1.1004,59.0,20.71
Culaman,90,PH,1611523799,78,5.9603,125.6586,78.67,13.09
Ust-Kuyga,100,RU,1611523799,76,70.0167,135.6,-45.2,4.72
Codrington,65,AU,1611523509,50,-38.2667,141.9667,69.8,5.5
Gari,100,RU,1611523800,90,59.4307,62.3497,-12.6,4.21
Meulaboh,72,ID,1611523530,84,4.1363,96.1285,76.96,3.62
Santiago del Estero,94,AR,1611523538,40,-27.7951,-64.2615,93.92,6.2
Harper,0,LR,1611523800,86,4.375,-7.7169,78.66,9.19
Aitape,86,PG,1611523543,80,-3.1374,142.3475,78.84,3.87
Bocaiúva,0,BR,1611523800,39,-17.1078,-43.815,82.4,8.05
Burns Lake,100,CA,1611523528,73,54.2331,-125.7533,19.4,1.14
Yuma,20,US,1611523800,55,32.7253,-114.6244,60.01,12.66
Westport,1,US,1611523521,25,41.1415,-73.3579,33.8,11.5
Saint-André-Avellin,20,CA,1611523801,53,45.7168,-75.066,15.8,10.36
Hofn,1,IS,1611523534,88,64.2539,-15.2082,28.63,19.66
Burriana,0,ES,1611523801,58,39.889,-0.085,57.99,6.91
Malartic,40,CA,1611523801,61,48.1335,-78.1328,10.99,4.61
Rapid Valley,40,US,1611523805,64,44.0625,-103.1463,35.01,21.85
Paamiut,0,GL,1611523805,78,61.994,-49.6678,21.15,13.82
Uíge,100,AO,1611523806,93,-7.6087,15.0613,65.95,0.74
Ilhabela,95,BR,1611523590,78,-23.7781,-45.3581,78.13,3.58
Idritsa,100,RU,1611523806,95,56.3316,28.8988,38.71,11.45
Maun,75,BW,1611523806,94,-19.9833,23.4167,77.0,2.3
Gravdal,75,NO,1611523806,80,68.1214,13.5031,24.8,6.91
Mareeba,100,AU,1611523807,83,-17.0,145.4333,73.4,2.3
Almaznyy,90,RU,1611523807,100,48.0448,40.045,32.0,17.9
Natal,75,BR,1611523534,88,-5.795,-35.2094,77.0,9.22
Batagay-Alyta,94,RU,1611523807,78,67.8006,130.4114,-36.06,1.39
Paita,40,PE,1611523555,61,-5.0892,-81.1144,84.2,11.5
Dawei,0,MM,1611523807,89,14.0833,98.2,66.72,2.62
Princeton,20,US,1611523808,57,25.5384,-80.4089,80.6,8.05
Salalah,0,OM,1611523548,37,17.0151,54.0924,71.6,6.91
Tazovsky,15,RU,1611523560,80,67.4667,78.7,-40.5,3.78
Paracuru,99,BR,1611523808,78,-3.41,-39.0306,81.0,14.0
Vilhena,40,BR,1611523808,88,-12.7406,-60.1458,73.4,4.61
Atasū,30,KZ,1611523516,88,48.6814,71.6433,-9.72,3.04
Muzhi,100,RU,1611523809,86,65.3667,64.6667,-24.03,6.17
Aswān,0,EG,1611523809,35,24.0934,32.907,56.34,9.91
Le Port,75,RE,1611523809,83,-20.9373,55.2919,77.0,13.8
Owando,100,CG,1611523809,89,-0.4819,15.8999,73.27,3.49
Bairnsdale,2,AU,1611523810,55,-37.8333,147.6167,84.0,9.69
Hūn,0,LY,1611523810,36,29.1268,15.9477,57.54,6.29
Ouallam,0,NE,1611523558,17,14.3188,2.0866,72.7,8.79
Surin,19,TH,1611523810,74,14.8818,103.4936,72.0,4.03
Hobyo,79,SO,1611523528,72,5.3505,48.5268,75.99,19.15
Yumen,0,CN,1611523524,87,40.2833,97.2,17.29,7.94
Padang,40,ID,1611523333,94,-0.9492,100.3543,73.4,4.61
Porto-Novo,20,BJ,1611523318,83,6.4965,2.6036,82.4,8.05
Shingū,24,JP,1611523523,81,33.7333,135.9833,44.02,6.35
Tabou,0,CI,1611523811,88,4.423,-7.3528,78.48,8.19
Shestakovo,100,RU,1611523811,89,56.4915,103.96,-4.68,2.1
Sumbe,38,AO,1611523811,78,-11.2061,13.8437,75.83,5.59
Coos Bay,90,US,1611523324,81,43.3665,-124.2179,44.6,19.57
Ol'ga,1,RU,1611523812,89,43.7444,135.2892,20.01,6.96
Kayiry,100,UA,1611523812,93,46.9454,33.7059,43.52,16.82
Skjervøy,75,NO,1611523812,73,70.0311,20.9714,19.4,27.63
Poplar Bluff,90,US,1611523754,93,36.757,-90.3929,46.4,4.18
Whitehorse,75,CA,1611523556,85,60.7161,-135.0538,12.2,6.91
Hov,15,NO,1611523812,91,60.6987,10.3519,10.0,3.29
Bratsk,98,RU,1611523666,84,56.1325,101.6142,-2.0,2.24
Tucumcari,40,US,1611523709,60,35.1717,-103.725,41.0,6.91
La Santisima Trinidad,75,BO,1611523813,94,-14.8333,-64.9,75.2,3.44
Nouakchott,86,MR,1611523813,6,18.0858,-15.9785,75.2,9.22
Kirakira,100,SB,1611523813,73,-10.4544,161.9205,83.32,7.49
Aleksandrov Gay,47,RU,1611523813,98,50.147,48.5704,27.52,13.35
Doka,15,SD,1611523813,41,13.5167,35.7667,75.92,13.6
Ishigaki,20,JP,1611523814,77,24.3448,124.1572,60.8,9.22
Griffith,90,US,1611523814,75,41.5284,-87.4237,34.0,3.44
Rocha,0,UY,1611523814,72,-34.4833,-54.3333,76.48,10.22
Peace River,75,CA,1611523814,66,56.2501,-117.286,3.2,8.05
Nemuro,0,JP,1611523534,91,43.3236,145.575,29.26,3.24
Bosobolo,27,CD,1611523814,31,4.1833,19.9,78.75,0.89
Nísia Floresta,75,BR,1611523814,88,-6.0911,-35.2086,77.0,9.22
Pallisa,44,UG,1611523815,71,1.145,33.7094,71.42,5.61
Kitaibaraki,46,JP,1611523815,77,36.7833,140.75,35.01,6.29
Martin,75,US,1611523815,73,27.0837,-80.4164,80.01,11.5
Zaraza,90,VE,1611523815,65,9.3503,-65.3245,80.58,10.4
Labuhan,100,ID,1611523815,89,-6.8844,112.2051,76.57,8.48
Mananara,6,MG,1611523816,87,-16.1667,49.7667,75.96,0.4
Mayumba,86,GA,1611523816,86,-3.432,10.6554,78.37,5.35
Bambous Virieux,40,MU,1611523496,88,-20.3428,57.7575,77.0,6.91
Tual,96,ID,1611523517,75,-5.6667,132.75,83.93,13.33
Dolzhanskaya,100,RU,1611523816,53,46.6311,37.8039,30.99,15.01
Vancouver,90,CA,1611523522,93,49.2497,-123.1193,37.4,10.36
Kuril'sk,100,RU,1611523816,94,45.2333,147.8833,21.49,16.33
Palatka,83,US,1611523683,85,29.6486,-81.6376,69.01,6.71
Lubao,40,PH,1611523817,83,14.9167,120.55,77.0,4.61
Brattvåg,40,NO,1611523817,64,62.6002,6.4434,33.8,12.66
Goderich,100,CA,1611523817,86,43.7501,-81.7165,24.8,9.22
Lavrentiya,100,RU,1611523817,87,65.5833,-171.0,1.29,2.17
Yacuiba,100,BO,1611523817,77,-22.038,-63.6797,77.47,2.75
Juba,54,SS,1611523818,43,4.8517,31.5825,80.11,2.62
Coahuayana Viejo,40,MX,1611523818,42,18.7333,-103.6833,82.4,6.91
Bowen,34,AU,1611523818,83,-20.0167,148.2333,75.2,7.9
Mapiripán,92,CO,1611523818,73,2.8892,-72.1256,82.35,4.68
Glendive,40,US,1611523818,79,47.1053,-104.7125,17.6,10.36
Yeppoon,75,AU,1611523818,78,-23.1333,150.7333,75.2,8.05
Polis,20,CY,1611523819,71,35.0367,32.4264,50.0,9.22
Banjar,75,ID,1611523819,94,-8.19,114.9675,78.8,1.14
Rock Springs,90,US,1611523819,69,41.5875,-109.2029,28.4,4.61
Kirkuk,0,IQ,1611523819,51,35.4681,44.3922,46.17,4.83
Timaru,68,NZ,1611523819,59,-44.4,171.25,72.0,4.0
Hanyang,45,CN,1611523819,65,32.1371,105.5126,32.0,25.01
Senno,100,RU,1611523820,93,59.5336,33.9167,33.01,7.2
Chiredzi,100,ZW,1611523820,91,-21.05,31.6667,72.14,7.74
Chagoda,100,RU,1611523820,97,59.164,35.3285,34.68,6.35
Dzilam González,95,MX,1611523820,58,21.2833,-88.9333,83.84,8.23
Colesberg,0,ZA,1611523820,66,-30.72,25.0972,62.15,21.94
Sola,90,VU,1611523507,100,-13.8833,167.55,78.8,12.84
Causapscal,99,CA,1611523820,1,48.3542,-67.227,30.0,10.78
Baiyin,74,CN,1611523821,92,36.5583,104.2081,25.0,4.47
General Pico,0,AR,1611523821,14,-35.6566,-63.7568,102.92,11.7
Egvekinot,0,RU,1611523543,86,66.3167,-179.1667,-3.01,7.81
Roald,40,NO,1611523526,64,62.5833,6.1333,34.0,12.66
Coyhaique,75,CL,1611523822,41,-45.5752,-72.0662,60.8,5.75
Bilecik Province,75,TR,1611523822,81,40.0,30.1667,51.8,4.61
Topolobampo,20,MX,1611523822,45,25.6,-109.05,71.01,10.36
Ségou,0,ML,1611523822,18,13.4317,-6.2157,71.91,9.78
Juneau,90,US,1611523822,86,58.3019,-134.4197,33.8,8.05
Mogadishu,91,SO,1611523470,77,2.0371,45.3438,76.95,22.57
Nārāyanganj,90,BD,1611523533,100,23.6233,90.5011,59.0,2.51
Ketchikan,40,US,1611523443,93,55.3422,-131.6461,37.4,3.44
Barra de Tecoanapa,99,MX,1611523823,65,16.5167,-98.75,82.31,8.41
Waingapu,100,ID,1611523562,77,-9.6567,120.2641,77.76,6.51
Pailitas,17,CO,1611523823,43,8.9565,-73.6255,91.47,5.82
Horta,75,PT,1611523823,94,38.5333,-28.6333,64.4,19.57
Aksarayskiy,40,RU,1611523823,86,46.7924,48.0119,30.2,11.18
Sangar,74,RU,1611523823,55,63.9242,127.4739,-57.08,3.42
Black River,20,JM,1611523823,74,18.0264,-77.8487,82.99,19.57
Bonthe,0,SL,1611523824,80,7.5264,-12.505,77.68,8.77
Koksovyy,100,RU,1611523824,98,48.1967,40.5989,30.67,12.59
Navegantes,40,BR,1611523824,89,-26.8989,-48.6542,78.8,9.22
Jishou,100,CN,1611523824,90,28.3167,109.7167,46.31,1.52
Qaqortoq,0,GL,1611523824,31,60.7167,-46.0333,26.6,36.82
Alexandria,40,EG,1611523824,67,31.2156,29.9553,59.0,4.61
Alibag,1,IN,1611523824,56,18.6411,72.8792,73.4,4.61
Sande,47,DE,1611523825,93,53.5049,8.0142,35.01,2.3
